text,count
base,2
grandfather,2
clock,3
playing,2
braids,1
bored,1
mind,2
watching,2
hours,2
tick,4
pendulum,1
tock,3
paces,2
panics,3
entire,4
wall,9
scared,6
upset,1
worse,3
goes,20
hug,1
touch,3
hurt,6
each,8
other,18
alarmed,2
sadness,3
teenager,1
past,14
without,4
stopping,2
quarters,1
herself,17
teen,2
weeks,1
curtsies,1
formally,2
touching,1
fine,8
docks,4
ship,7
rough,3
seas,1
lightning,1
flashes,2
sea,1
rages,1
storm,20
lost,3
covered,7
mourning,2
cloth,1
cemetery,1
small,5
before,12
burial,1
stones,1
clothes,6
singing,4
asking,1
been,10
say,17
courage,2
against,7
weak,14
internal,1
sitting,3
exact,1
same,2
pose,1
bedroom,2
suspended,2
grief,4
fade,3
morning,1
dawn,5
rises,5
ships,7
pull,8
guests,5
dock,4
master,3
welcome,2
mother,2
stuff,2
bunad,1
jacket,1
wear,1
because,9
age,1
coronation,9
that,80
fault,4
pass,5
may,10
pole,3
being,4
raised,3
harvester,1
chatting,1
recognize,1
grown,1
excitedly,3
dog,1
nuzzles,2
leans,5
if,25
give,7
snack,1
word,1
shirt,1
pocket,1
bite,8
whole,9
thing,14
hey,17
smaller,2
himself,5
seeming,1
care,4
slobber,1
persi,3
aggie,2
super,1
couple,2
who,28
towards,8
believe,1
opening,2
tiny,4
menacing,2
duke,48
wears,1
taps,1
shoes,1
enhance,1
presence,1
thug,7
guards,10
ah,12
most,4
mysterious,1
trade,2
partner,2
those,3
unlock,1
secrets,1
exploit,1
riches,1
did,15
loud,4
bridge,3
passing,2
irishman,2
spanish,5
dignitary,7
oh,47
sore,2
wait,29
princess,17
bet,3
absolutely,2
lovely,1
particular,1
snores,2
drools,1
knock,5
kai,18
got,31
major,1
bedhead,1
coughs,1
snorts,4
huh,5
yeah,15
ma,3
am,15
didn,11
falls,16
asleep,1
while,5
drops,9
startling,1
time,25
ready,10
cor,1
neration,1
eye,3
enough,9
dress,6
bolts,1
wide,4
excitement,2
ha,9
finishes,1
pinning,1
ribbons,1
hustle,1
bustle,1
preparations,1
first,20
forever,18
knew,7
owned,1
salad,1
plates,1
along,9
socks,2
years,2
roamed,1
halls,1
balls,1
shakes,7
suit,1
armor,1
breaks,4
hides,2
evidence,1
real,3
actual,2
totally,4
strange,3
wow,3
change,4
comes,11
washer,1
pulley,1
raises,6
arriving,1
music,2
light,7
walks,15
garden,2
follows,4
family,7
geese,1
elated,1
gassy,1
somewhere,2
zone,1
speaking,3
twists,1
velvet,1
drape,1
gown,2
acts,1
gorgeous,2
ridiculous,2
tonight,3
imagine,3
fetchingly,1
draped,1
picture,1
sophisticated,1
grace,1
notices,3
bust,4
man,10
google,1
eyed,2
stranger,2
tall,2
full,1
chocolate,5
wanna,2
swings,4
laugh,4
talk,6
evening,1
which,8
bizarre,1
nothing,5
life,11
led,1
far,4
flying,7
top,14
cake,1
interacts,1
